wavenumber,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
1180,0.00274,0.00303,0.00224,0.0048,0.00022,0.00117,0.00386,0.00327,0.00235,0.00299,0.00612,0.00685,0.00096,0.00155,0.00341,0.00301,0.00232,0.00081,0.00235,0.00095,0.001,0.00157,0.00442,0.00435,0.00219,0.00503,0.00221,0.00557,0.00163,0.00249
1188,0.00025,0.00038,0.00015,0.00073,0.00008,0.00031,0.00069,0.00023,0.00006,0.00051,0.00311,0.00385,0.0002,0.00001,0.00035,0.00029,0.00057,0.00007,0.00059,0.00022,0.0002,0.00012,0.00219,0.00045,0.00056,0.00069,0.00044,0.00079,0.00044,0.00001
1196,0.00163,0.00236,0.00517,0.00408,0.00146,0.00477,0.00288,0.00149,0.00435,0.00435,0.00386,0.00471,0.00269,0.00229,0.00234,0.00159,0.00879,0.00206,0.00328,0.00361,0.00322,0.00387,0.00264,0.00309,0.00332,0.00337,0.00233,0.0035,0.00264,0.00385
1203,0.00573,0.0073,0.00952,0.01278,0.00371,0.00814,0.00874,0.00549,0.01258,0.01157,0.00764,0.00861,0.00722,0.00684,0.00794,0.00548,0.01521,0.00375,0.00869,0.00793,0.00805,0.00973,0.00512,0.01097,0.00889,0.01069,0.00653,0.01168,0.00696,0.01128
1211,0.00924,0.01174,0.00797,0.02138,0.00567,0.00653,0.01372,0.00892,0.02012,0.0178,0.01126,0.0121,0.0114,0.01099,0.01323,0.00914,0.01304,0.00326,0.01378,0.01032,0.0118,0.01359,0.00738,0.01836,0.01389,0.01732,0.01045,0.01979,0.01107,0.01769
1219,0.01299,0.01598,0.00993,0.029,0.00731,0.00829,0.01777,0.01229,0.02672,0.02384,0.01415,0.01504,0.01491,0.01455,0.01815,0.01274,0.01524,0.00422,0.01819,0.01267,0.01527,0.0178,0.00921,0.02451,0.01835,0.02361,0.01385,0.02715,0.01452,0.02362
1227,0.01673,0.02017,0.01442,0.03648,0.00895,0.01146,0.02165,0.01556,0.03301,0.03034,0.0168,0.01778,0.0183,0.01817,0.02297,0.01617,0.02086,0.00587,0.02255,0.01525,0.01882,0.02243,0.01111,0.03023,0.02263,0.02993,0.01716,0.0346,0.01788,0.02948
1234,0.02007,0.02431,0.01796,0.04408,0.01029,0.0135,0.02583,0.01914,0.03836,0.03683,0.01993,0.02096,0.02155,0.02161,0.02742,0.0195,0.02524,0.00727,0.0267,0.01744,0.02173,0.0264,0.01331,0.0362,0.02668,0.03621,0.02039,0.04218,0.02122,0.03503
1242,0.02256,0.02729,0.02026,0.04918,0.01113,0.0151,0.02889,0.02179,0.04172,0.04102,0.02215,0.02342,0.02345,0.02378,0.0304,0.0218,0.02828,0.00822,0.02942,0.01826,0.02363,0.02895,0.01498,0.04042,0.02935,0.04056,0.02247,0.04758,0.02317,0.03842
1250,0.0234,0.02792,0.0219,0.05032,0.01143,0.01629,0.02921,0.02241,0.04313,0.04181,0.02257,0.02391,0.02388,0.02412,0.03121,0.02222,0.03043,0.00888,0.03007,0.01773,0.02423,0.03001,0.01534,0.04087,0.03002,0.04177,0.02282,0.04892,0.02356,0.03932
1257,0.02266,0.02676,0.02029,0.04817,0.01141,0.01511,0.02748,0.0215,0.04279,0.04047,0.02136,0.02255,0.02287,0.02302,0.02994,0.0212,0.02867,0.00808,0.02914,0.01705,0.02373,0.02971,0.01449,0.03852,0.02904,0.04012,0.02154,0.04706,0.02253,0.03783
1265,0.02109,0.02485,0.01774,0.04431,0.01114,0.01315,0.02527,0.01969,0.0416,0.03809,0.01992,0.02104,0.02182,0.02121,0.02775,0.01943,0.02536,0.00715,0.02731,0.01566,0.02274,0.02867,0.01359,0.03512,0.02726,0.03716,0.02015,0.04347,0.02117,0.03528
1273,0.01945,0.02296,0.01616,0.04043,0.0107,0.01152,0.02283,0.01789,0.03957,0.0352,0.0181,0.01909,0.02046,0.01951,0.02563,0.01764,0.023,0.00649,0.02547,0.01416,0.02164,0.02731,0.01246,0.0317,0.02542,0.03431,0.01858,0.03986,0.01981,0.03289
1281,0.01854,0.02209,0.01673,0.03794,0.01056,0.01209,0.02079,0.01683,0.03896,0.03345,0.01631,0.01741,0.01978,0.01867,0.02431,0.01668,0.02404,0.00681,0.0247,0.01336,0.02136,0.02719,0.01122,0.02921,0.02452,0.03257,0.01799,0.03778,0.01915,0.03183
1288,0.01848,0.02235,0.01869,0.03731,0.01081,0.01368,0.02028,0.01658,0.03942,0.03275,0.0156,0.01675,0.02003,0.01868,0.0241,0.01654,0.02732,0.00777,0.02491,0.01283,0.02184,0.0276,0.01086,0.02842,0.02459,0.03257,0.01828,0.03754,0.01952,0.03218
1296,0.01896,0.02322,0.021,0.03796,0.01118,0.01562,0.02094,0.01717,0.04091,0.03325,0.01578,0.01706,0.02065,0.01912,0.02463,0.01696,0.03096,0.00867,0.02556,0.01297,0.02279,0.02897,0.01108,0.0293,0.02539,0.03366,0.019,0.03868,0.02008,0.03347
1304,0.02011,0.02464,0.02387,0.03997,0.01185,0.01809,0.02237,0.01834,0.0441,0.03505,0.01655,0.01797,0.02196,0.02026,0.02608,0.01801,0.03537,0.00972,0.02712,0.01419,0.02467,0.0316,0.01165,0.03098,0.02696,0.03589,0.02014,0.04115,0.02111,0.03577
1311,0.02184,0.02697,0.02637,0.04347,0.01272,0.01983,0.02424,0.01992,0.04886,0.03814,0.01777,0.01917,0.02366,0.02211,0.02849,0.01973,0.03909,0.01055,0.0294,0.01614,0.02703,0.03504,0.01259,0.03347,0.02915,0.03943,0.02181,0.04506,0.02283,0.03917
1319,0.02402,0.02937,0.02602,0.04748,0.01394,0.01909,0.02571,0.0217,0.05525,0.04234,0.01881,0.02013,0.02542,0.02397,0.031,0.02156,0.03878,0.01024,0.03209,0.01818,0.02955,0.03878,0.01328,0.03572,0.03155,0.04289,0.02352,0.04954,0.02447,0.0425
1327,0.02655,0.03208,0.02569,0.05095,0.01585,0.01883,0.02688,0.0236,0.06528,0.04897,0.01987,0.02082,0.02731,0.02598,0.03426,0.02336,0.0385,0.01036,0.03487,0.02099,0.0334,0.04342,0.01388,0.03718,0.03412,0.04639,0.02539,0.05388,0.02648,0.04607
1334,0.02961,0.03506,0.02755,0.05507,0.01774,0.02079,0.02859,0.02563,0.07584,0.05679,0.02086,0.02186,0.02941,0.02803,0.03788,0.02529,0.0414,0.01095,0.03783,0.0236,0.03787,0.04917,0.01467,0.0394,0.03675,0.05044,0.02729,0.05875,0.02856,0.04986
1342,0.03096,0.03649,0.0305,0.05797,0.0177,0.02312,0.03141,0.02781,0.07492,0.05771,0.02281,0.02384,0.03062,0.02934,0.03949,0.02676,0.04603,0.01216,0.03909,0.02427,0.03818,0.049,0.01606,0.04278,0.03835,0.05308,0.02863,0.06144,0.02957,0.05191
1350,0.03217,0.03815,0.03235,0.06101,0.01717,0.02407,0.035,0.03035,0.07098,0.05591,0.02529,0.02657,0.03186,0.03077,0.04118,0.02814,0.04887,0.0128,0.04038,0.02368,0.0365,0.04653,0.01786,0.04718,0.03998,0.05585,0.03,0.06424,0.03095,0.05379
1358,0.03479,0.04093,0.03433,0.06586,0.01771,0.02588,0.0389,0.03384,0.07446,0.05944,0.02806,0.02964,0.03385,0.03289,0.04414,0.03031,0.052,0.01347,0.04279,0.02532,0.03812,0.0487,0.01999,0.05215,0.04257,0.06008,0.03203,0.0691,0.03284,0.05733
1365,0.03707,0.04331,0.03708,0.07003,0.0185,0.02851,0.04297,0.03663,0.0785,0.06336,0.03108,0.03296,0.03534,0.03476,0.0468,0.03253,0.05552,0.01455,0.04484,0.02845,0.04002,0.05115,0.02219,0.05686,0.04465,0.06349,0.03355,0.07289,0.03435,0.06012
1373,0.03712,0.04321,0.03706,0.07226,0.01812,0.02843,0.04548,0.03925,0.07809,0.06485,0.03285,0.03526,0.03509,0.03535,0.04693,0.03279,0.05478,0.01422,0.04469,0.02856,0.0399,0.05052,0.02382,0.06029,0.04462,0.06437,0.03346,0.07307,0.03453,0.06007
1381,0.03634,0.04206,0.03238,0.06996,0.01829,0.02568,0.04623,0.0387,0.07733,0.06212,0.03428,0.03651,0.03458,0.0345,0.04587,0.03227,0.04815,0.01281,0.04349,0.02774,0.03926,0.04931,0.02463,0.06098,0.04363,0.06255,0.03313,0.0713,0.03389,0.05804
