Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.111015,0.09937838,0.07694112,0.08159698,0.09510222,0.08482586,0.08012255,0.0805631,0.08578967,0.0946447,0.0811894,0.08239623,0.09597402,0.09528271,0.07626602,0.06347835,0.03712718,0.07043245,0.07713778,0.108431,0.08779362,0.0967232,0.09672113,0.08959041,0.09772791,0.09387871,0.109289,0.04370308,0.04872661,0.05820886
0.1087998,0.09752705,0.07506384,0.07973355,0.09227509,0.08321868,0.07844877,0.07894042,0.08384759,0.09252941,0.07933479,0.08085983,0.09427217,0.09363141,0.07460588,0.06212589,0.03598143,0.06893144,0.07530666,0.1065759,0.08611461,0.09494858,0.09500843,0.08772348,0.09596198,0.09219996,0.1071156,0.04246109,0.04767817,0.05699449
0.10658,0.0956512,0.07322125,0.07791449,0.08954755,0.08161868,0.07677307,0.07727996,0.08192864,0.0904316,0.07749333,0.07934395,0.09255864,0.09199822,0.0729556,0.06078734,0.03484307,0.06744088,0.07351088,0.1047134,0.0844479,0.09318822,0.09329901,0.08587578,0.09418828,0.09051481,0.1049755,0.04122667,0.04664024,0.05578893
0.1043637,0.09375759,0.07141375,0.07613666,0.08693562,0.0800258,0.0750955,0.0755761,0.08002855,0.08835355,0.07566698,0.07784634,0.09083253,0.0903817,0.07131435,0.0594628,0.03371076,0.06596045,0.07175533,0.1028447,0.08278795,0.09144239,0.0915909,0.08404827,0.09240807,0.0888245,0.1028638,0.04000076,0.04561125,0.05458192
0.1021587,0.09185429,0.06964189,0.07439597,0.0844503,0.0784417,0.07341807,0.07382774,0.07814445,0.08629887,0.07385913,0.07636506,0.08909383,0.08877921,0.06968182,0.05815341,0.03258519,0.06449091,0.07004509,0.1009733,0.08113075,0.08971228,0.08988342,0.08224273,0.09062388,0.08713118,0.100777,0.03878482,0.04459029,0.05336463
0.09997214,0.08994965,0.06790608,0.0726884,0.08209654,0.07686926,0.07174435,0.07203832,0.07627525,0.08427177,0.07207404,0.07489833,0.08734368,0.08718734,0.06805836,0.05686098,0.0314693,0.06303389,0.06838491,0.09910341,0.07947439,0.08799987,0.08817716,0.08046157,0.08883952,0.08543772,0.09871314,0.03758094,0.04357752,0.05213094
0.09780887,0.08805109,0.06620546,0.07100977,0.07987296,0.0753117,0.07007828,0.07021457,0.07442106,0.08227548,0.07031546,0.07344413,0.08558402,0.08560235,0.06644451,0.05558715,0.03036758,0.06159122,0.06677813,0.0972396,0.07781824,0.08630735,0.08647325,0.07870697,0.08705939,0.08374699,0.09667052,0.03639145,0.04257371,0.05087773
0.09567144,0.08616398,0.06453639,0.06935477,0.07777264,0.0737715,0.06842281,0.06836471,0.07258232,0.08031069,0.06858522,0.07200011,0.08381707,0.0840207,0.06484021,0.05433244,0.02928466,0.06016412,0.06522563,0.0953853,0.07616152,0.08463652,0.08477227,0.07698004,0.08528717,0.08206098,0.09464662,0.03521823,0.04157936,0.04960442
0.09355968,0.08429144,0.06289201,0.06771616,0.07578483,0.07224994,0.06677917,0.06649722,0.07075902,0.07837493,0.0668825,0.07056372,0.08204489,0.08243962,0.06324452,0.05309595,0.02822402,0.05875274,0.06372528,0.09354235,0.07450228,0.08298842,0.0830736,0.07528034,0.0835249,0.08038038,0.09263756,0.03406221,0.04059396,0.04831234
0.09147129,0.08243514,0.06126312,0.06608505,0.07389677,0.07074741,0.06514715,0.06462061,0.06895067,0.07646337,0.06520433,0.06913279,0.08026946,0.08085757,0.06165582,0.05187555,0.02718728,0.05735641,0.06227219,0.09171136,0.0728373,0.08136342,0.0813755,0.0736061,0.08177276,0.07870474,0.09063854,0.03292344,0.03961567,0.04700412
