"wavenumber","intensity","File"
1303.644,0.2240961,"./Lazar_omnic_10.CSV_breakoff.csv"
1311.357,0.2453423,"./Lazar_omnic_10.CSV_breakoff.csv"
1319.071,0.2724931,"./Lazar_omnic_10.CSV_breakoff.csv"
1326.785,0.3003204,"./Lazar_omnic_10.CSV_breakoff.csv"
1334.499,0.3327098,"./Lazar_omnic_10.CSV_breakoff.csv"
1342.213,0.3490335,"./Lazar_omnic_10.CSV_breakoff.csv"
1349.927,0.3653746,"./Lazar_omnic_10.CSV_breakoff.csv"
1357.641,0.3928038,"./Lazar_omnic_10.CSV_breakoff.csv"
1365.354,0.4204314,"./Lazar_omnic_10.CSV_breakoff.csv"
1373.068,0.4275858,"./Lazar_omnic_10.CSV_breakoff.csv"
1380.782,0.4200763,"./Lazar_omnic_10.CSV_breakoff.csv"
1388.496,0.4095872,"./Lazar_omnic_10.CSV_breakoff.csv"
1396.21,0.4118853,"./Lazar_omnic_10.CSV_breakoff.csv"
1403.924,0.4307651,"./Lazar_omnic_10.CSV_breakoff.csv"
1411.638,0.4458195,"./Lazar_omnic_10.CSV_breakoff.csv"
1419.352,0.4437461,"./Lazar_omnic_10.CSV_breakoff.csv"
1427.065,0.4213359,"./Lazar_omnic_10.CSV_breakoff.csv"
1434.779,0.3866242,"./Lazar_omnic_10.CSV_breakoff.csv"
1442.493,0.3464263,"./Lazar_omnic_10.CSV_breakoff.csv"
1450.207,0.309956,"./Lazar_omnic_10.CSV_breakoff.csv"
1457.921,0.2724743,"./Lazar_omnic_10.CSV_breakoff.csv"
1465.635,0.2177315,"./Lazar_omnic_10.CSV_breakoff.csv"
1473.349,0.1446575,"./Lazar_omnic_10.CSV_breakoff.csv"
1481.063,0.09080891,"./Lazar_omnic_10.CSV_breakoff.csv"
1488.776,0.0679765,"./Lazar_omnic_10.CSV_breakoff.csv"
1496.49,0.08020727,"./Lazar_omnic_10.CSV_breakoff.csv"
1504.204,0.0993978,"./Lazar_omnic_10.CSV_breakoff.csv"
1511.918,0.1326437,"./Lazar_omnic_10.CSV_breakoff.csv"
1519.632,0.1629736,"./Lazar_omnic_10.CSV_breakoff.csv"
1527.346,0.2056885,"./Lazar_omnic_10.CSV_breakoff.csv"
1535.06,0.2582168,"./Lazar_omnic_10.CSV_breakoff.csv"
1542.773,0.3259494,"./Lazar_omnic_10.CSV_breakoff.csv"
1550.487,0.3964754,"./Lazar_omnic_10.CSV_breakoff.csv"
1558.201,0.4800172,"./Lazar_omnic_10.CSV_breakoff.csv"
1565.915,0.5717108,"./Lazar_omnic_10.CSV_breakoff.csv"
1573.629,0.6885185,"./Lazar_omnic_10.CSV_breakoff.csv"
1581.343,0.8070351,"./Lazar_omnic_10.CSV_breakoff.csv"
1589.057,0.9005843,"./Lazar_omnic_10.CSV_breakoff.csv"
1596.771,0.9570137,"./Lazar_omnic_10.CSV_breakoff.csv"
1604.484,0.9629946,"./Lazar_omnic_10.CSV_breakoff.csv"
1612.198,0.9395568,"./Lazar_omnic_10.CSV_breakoff.csv"
1619.912,0.9000148,"./Lazar_omnic_10.CSV_breakoff.csv"
1627.626,0.855208,"./Lazar_omnic_10.CSV_breakoff.csv"
1635.34,0.8119449,"./Lazar_omnic_10.CSV_breakoff.csv"
1643.054,0.7611192,"./Lazar_omnic_10.CSV_breakoff.csv"
1650.768,0.7044851,"./Lazar_omnic_10.CSV_breakoff.csv"
1658.481,0.6274148,"./Lazar_omnic_10.CSV_breakoff.csv"
1666.195,0.5409752,"./Lazar_omnic_10.CSV_breakoff.csv"
1673.909,0.4524078,"./Lazar_omnic_10.CSV_breakoff.csv"
1681.623,0.368405,"./Lazar_omnic_10.CSV_breakoff.csv"
1689.337,0.2992541,"./Lazar_omnic_10.CSV_breakoff.csv"
1697.051,0.2623241,"./Lazar_omnic_10.CSV_breakoff.csv"
1704.765,0.2471919,"./Lazar_omnic_10.CSV_breakoff.csv"
1712.479,0.2581141,"./Lazar_omnic_10.CSV_breakoff.csv"
1720.192,0.2813904,"./Lazar_omnic_10.CSV_breakoff.csv"
1727.906,0.2743919,"./Lazar_omnic_10.CSV_breakoff.csv"
1735.62,0.2646782,"./Lazar_omnic_10.CSV_breakoff.csv"
1743.334,0.2170967,"./Lazar_omnic_10.CSV_breakoff.csv"
1751.048,0.166464,"./Lazar_omnic_10.CSV_breakoff.csv"
1758.762,0.117529,"./Lazar_omnic_10.CSV_breakoff.csv"
